date,P1,P2,P3,P4,P5,P5_P1
2017-02-01,0.018596416881846184,0.027531861251527574,0.038318619914874175,0.016940791559115213,0.06380039314300329,0.0452039762611571
2017-03-01,0.01843143644054983,0.006576034700880134,-0.0023190665022428396,0.007203489692938449,0.023172342243618808,0.004740905803068976
2017-04-01,0.053683885711111407,0.019663965391708373,0.0169066817239988,0.011518330351358701,0.0016915281022471126,-0.051992357608864295
2017-05-01,0.0007585588503727912,-0.0198105857903253,-0.0066326377203306435,0.019866576057580215,-0.07269396137250071,-0.0734525202228735
2017-06-01,0.017038369179282926,0.0358149974557792,0.021396266094657095,0.021817863819733482,0.06021532630541728,0.043176957126134355
2017-07-01,0.044319296832356476,0.021406528512638384,0.0021524188352607674,-0.000965777594740482,-0.0476245661984836,-0.09194386303084007
2017-08-01,-0.037180497510095535,-0.019511055207243853,0.00392394419778679,0.003158375776999738,0.007221156910949497,0.04440165442104503
2017-09-01,0.044131830815618056,0.04815897237932984,0.05769800252286156,0.07315835091737495,0.09627540336093292,0.05214357254531486
2017-10-01,0.005197167648263936,0.002235948716381937,-0.004996149639511525,0.019574203129948165,0.010955045667777108,0.005757878019513172
2017-11-01,0.03759331615256211,0.038483205402723375,0.05322514516978265,0.01806440691791227,-0.00421465222014429,-0.0418079683727064
2017-12-01,-0.0027001932555028286,-7.372303547086676e-06,0.0006009527623125665,0.029440404348938465,0.18620692704288255,0.18890712029838538
2018-01-01,0.041440350006683675,0.026463280370291848,0.03330113590842023,0.04039188754039711,0.10194142221759248,0.0605010722109088
2018-02-01,-0.03486956183371247,-0.030919679791431544,-0.03742322783667468,-0.016102417310650166,-0.03251073216433104,0.002358829669381425
2018-03-01,0.04135268578630935,0.00757824845020561,0.011773034171955977,0.012530847769466419,0.06437904544999289,0.023026359663683535
2018-04-01,0.006775268871872276,0.0009526920179800897,0.00779943119050183,0.00885278161504887,0.056649481808764154,0.04987421293689188
2018-05-01,0.03996855525343552,0.026614328526962616,0.027237973302482444,0.05426428887384749,0.1095865629760538,0.06961800772261828
2018-06-01,-0.009565872914146446,0.005642726387660546,-0.00240520223449323,0.01227974148541771,0.04479670663179578,0.05436257954594223
2018-07-01,0.008014384329785596,0.024479183617703893,0.013368773010016766,0.00892711124483373,0.008581971715774257,0.0005675873859886608
2018-08-01,0.026135490340281342,0.04752461333356481,0.03374810390511049,0.0170167228108263,-0.009722478045387794,-0.03585796838566914
