ym,MktRF,SMB,HML,RF,WML
2018-04-30,0.0027,0.0109,0.0053,0.0014000000000000002,0.0045000000000000005
2018-05-31,0.026600000000000002,0.0524,-0.031400000000000004,0.0014000000000000002,0.0391
2018-06-30,0.0049,0.0111,-0.0233,0.0014000000000000002,-0.0229
2018-07-31,0.032,-0.0222,0.004699999999999999,0.0016,-0.0143
2018-08-31,0.0345,0.011699999999999999,-0.0393,0.0016,0.0533
2018-09-30,0.0006,-0.0229,-0.0168,0.0015,-0.001
2018-10-31,-0.0765,-0.0467,0.034300000000000004,0.0019,-0.02
2018-11-30,0.0171,-0.0072,0.0034000000000000002,0.0018,-0.014199999999999999
2018-12-31,-0.0955,-0.0233,-0.018799999999999997,0.0019,0.0175
2019-01-31,0.0837,0.0273,-0.004,0.0021,-0.0864
2019-02-28,0.0342,0.020499999999999997,-0.026600000000000002,0.0018,0.0076
2019-03-31,0.011000000000000001,-0.030600000000000002,-0.0416,0.0019,0.0227
2019-04-30,0.0397,-0.0169,0.0213,0.0021,-0.0291
2019-05-31,-0.0692,-0.012199999999999999,-0.0236,0.0021,0.0756
2019-06-30,0.0699,0.001,-0.0072,0.0018,-0.0226
2019-07-31,0.0123,-0.0196,0.005,0.0019,0.029300000000000003
2019-08-31,-0.0255,-0.0239,-0.04769999999999999,0.0016,0.0747
2019-09-30,0.0141,-0.0097,0.0676,0.0018,-0.0674
2019-10-31,0.0207,0.0027,-0.0192,0.0015,0.0013
2019-11-30,0.0387,0.0072,-0.02,0.0012,-0.026099999999999998
2019-12-31,0.0277,0.0076,0.0173,0.0014000000000000002,-0.022400000000000003
2020-01-31,-0.0011,-0.031,-0.0622,0.0013,0.0602
2020-02-29,-0.0815,0.0108,-0.0382,0.0012,-0.0025
2020-03-31,-0.13369999999999999,-0.046900000000000004,-0.1383,0.0012,0.08199999999999999
2020-04-30,0.136,0.025,-0.0134,0.0,-0.056100000000000004
2020-05-31,0.0557,0.024,-0.05,0.0001,0.0015
2020-06-30,0.0245,0.026699999999999998,-0.0217,0.0001,-0.0087
2020-07-31,0.0583,-0.0235,-0.0144,0.0001,0.077
2020-08-31,0.0762,-0.002,-0.0302,0.0001,0.0043
2020-09-30,-0.0364,0.0006,-0.027200000000000002,0.0001,0.0318
2020-10-31,-0.0208,0.0434,0.0425,0.0001,-0.031
2020-11-30,0.1245,0.0581,0.0209,0.0001,-0.126
2020-12-31,0.0463,0.0501,-0.0168,0.0001,-0.0226
2021-01-31,-0.0007000000000000001,0.07139999999999999,0.0322,0.0,0.0434
2021-02-28,0.0281,0.0202,0.07200000000000001,0.0,-0.0799
2021-03-31,0.0317,-0.0233,0.0735,0.0,-0.061
2021-04-30,0.0495,-0.0319,-0.0102,0.0,0.012199999999999999
2021-05-31,0.003,-0.002,0.0704,0.0,0.005600000000000001
2021-06-30,0.0274,0.017,-0.0786,0.0,0.0207
2021-07-31,0.0134,-0.0393,-0.018000000000000002,0.0,-0.0218
2021-08-31,0.0294,-0.0032,-0.0023,0.0,0.0263
2021-09-30,-0.044000000000000004,0.0066,0.0512,0.0,0.0143
2021-10-31,0.0663,-0.0226,-0.0053,0.0,0.0331
2021-11-30,-0.0158,-0.0131,-0.0037,0.0,0.0096
2021-12-31,0.0323,-0.0163,0.0325,0.0001,-0.024
