cik,ni,ocf,rev,cogs,at,at_prev,se,fyear
21665,2241000000.0,3204000000.0,17420000000.0,7219000000.0,13985000000.0,13394000000.0,2305000000.0,2013
21828,,,,,,27654139.0,,2013
22252,-2058000.0,443000.0,4429000.0,3930000.0,1337000.0,3211000.0,-7725000.0,2013
22356,260961000.0,361749000.0,,,23072036000.0,22159589000.0,2210642000.0,2013
22444,77315000.0,147732000.0,,,3537709000.0,3497569000.0,1323072000.0,2013
22701,-957888.0,,,86420982.0,103533000.0,112534645.0,88622043.0,2013
22872,5852281.0,-1109910.0,,,1225201.0,6124000.0,-15801413.0,2013
23082,947000000.0,1577000000.0,8899000000.0,,11226000000.0,11260000000.0,3698000000.0,2013
23111,15679000.0,18991000.0,419036000.0,,174431000.0,166205000.0,113842000.0,2013
23194,41029000.0,261279000.0,420290000.0,,2139398000.0,2569897000.0,952005000.0,2013
23197,17808000.0,37695000.0,,178967000.0,655214000.0,684747000.0,379945000.0,2013
23217,303100000.0,1568600000.0,1700000000.0,,20786400000.0,12524500000.0,5472200000.0,2013
23503,,,,,,573758.0,,2013
23666,213000000.0,251000000.0,,,2474000000.0,2467000000.0,568000000.0,2013
23675,99153000.0,347984000.0,5473356000.0,,3279931000.0,3152415000.0,1138689000.0,2013
23795,3683247.0,10887804.0,26069830.0,,226183680.0,184696900.0,120169357.0,2013
24090,4793000.0,81414000.0,213636000.0,,1216280000.0,1174948000.0,249247000.0,2013
24104,,317000.0,,,71962000.0,71545000.0,52064000.0,2013
24491,111013000.0,272375000.0,,,2737070000.0,2801160000.0,990866000.0,2013
24545,567300000.0,1168200000.0,,,15580100000.0,16212200000.0,8605200000.0,2013
24741,1961000000.0,,,4495000000.0,28478000000.0,29375000000.0,21162000000.0,2013
24751,,,,,,54928421.0,,2013
25212,,32138000.0,,,216470000.0,190206000.0,146629000.0,2013
25232,121761000.0,137340000.0,210741000.0,,2273206000.0,1124242000.0,1457401000.0,2013
25445,192700000.0,264000000.0,,,3559600000.0,2889878000.0,1204319000.0,2013
25475,50978000.0,77844000.0,1253430000.0,936427000.0,790058000.0,847415000.0,199805000.0,2013
25598,-76000000.0,,,,12612000000.0,14640212000.0,1385000000.0,2013
25743,-28419313.0,-20768069.0,,,62016393.0,5925879.0,54698407.0,2013
25793,,,,,,161339000.0,,2013
25895,5771000.0,3639000.0,,,49400000.0,43577000.0,34585000.0,2013
