cik,ni,ocf,rev,cogs,at,at_prev,se,fyear,ticker,tacc,gpoa
43196,18288000.0,60239000.0,,,1334424000.0,1249788000.0,174010000.0,2013,GTN-A,-0.033566492877191975,
43920,144700000.0,250300000.0,,,3932300000.0,3942900000.0,1258600000.0,2013,GEF-B,-0.026782317583504526,
45012,2125000000.0,4447000000.0,,,29223000000.0,27410000000.0,13581000000.0,2013,HAL,-0.08471360817219993,
45919,,59572000.0,559609000.0,,685536000.0,706212000.0,349054000.0,2013,HHS,,
46080,286198000.0,401132000.0,1872980000.0,,4393221000.0,4325387000.0,1682343000.0,2013,HAS,-0.026571957607492695,
46129,,,,,170977000.0,60967000.0,48003000.0,2013,ALNT,,
46195,150502000.0,,,,14084280000.0,13728372000.0,1011976000.0,2013,BOH-PB,,
46250,18094000.0,34612000.0,,,230947000.0,219873000.0,180928000.0,2013,HWKN,-0.07512518590277115,
46619,102396000.0,,,637576000.0,1523566000.0,1192521000.0,607242000.0,2013,HEI-A,,
46765,736639000.0,997185000.0,,,6410587000.0,5934288000.0,4568612000.0,2013,HP,-0.04390518289641487,
47111,820470000.0,1191399000.0,1800000000.0,,5357488000.0,4754839000.0,1604834000.0,2013,HSY,-0.0780108432693515,
47217,5113000000.0,11608000000.0,55273000000.0,44754000000.0,105025000000.0,106701000000.0,27754000000.0,2013,HPQ,-0.060871032136531056,0.09858389330934106
48287,63683000.0,165002000.0,,,1134705000.0,1077066000.0,436328000.0,2013,HNI,-0.09406944421233239,
48465,526211000.0,,,,5067170000.0,4622830000.0,3417754000.0,2013,HRL,,
48898,326500000.0,381800000.0,,,3184000000.0,2947000000.0,1906400000.0,2013,HUBB,-0.018764845605700714,
49071,1231000000.0,1716000000.0,41313000000.0,,20735000000.0,19979000000.0,9316000000.0,2013,HUM,-0.024275489263726913,
49196,641282000.0,1013245000.0,,,59467174000.0,56141474000.0,6090153000.0,2013,HBANP,-0.006625458391063975,
49600,,109750000.0,202171000.0,,1473412000.0,1354102000.0,513998000.0,2013,EGP,,
49754,72037000.0,127815000.0,640467000.0,270775000.0,2366757000.0,2415400000.0,315179000.0,2013,DIN,-0.023092655460793244,0.15305622257183074
49826,,2528000000.0,,,19599000000.0,19309000000.0,,2013,ITW,,
50292,1453707.0,1670287.0,,,10654188.0,9209933.0,,2013,IEHC,-0.023515914828044895,
50471,257487.0,-149064.0,,,16948221.0,12068944.0,11072847.0,2013,TRAK,0.03368571434253071,
50493,20795890.0,145200682.0,,,1653722606.0,1669328000.0,416556857.0,2013,IMKTA,-0.0745238754756405,
50725,3767000.0,,,,1752159000.0,1760846000.0,595093000.0,2013,GFF,,
50863,9620000000.0,,,,92358000000.0,84351000000.0,58256000000.0,2013,INTC,,
51143,,,98367000000.0,49683000000.0,125641000000.0,119213000000.0,22792000000.0,2013,IBM,,0.4083782808921846
51253,353544000.0,407562000.0,,,3331731000.0,3246192000.0,1463072000.0,2013,IFF,-0.016640420529654438,
51434,1395000000.0,3028000000.0,,,31528000000.0,32153000000.0,8105000000.0,2013,INPAP,-0.05078841787702547,
52827,371896000.0,546793000.0,,,3685501000.0,3122951000.0,1661170000.0,2013,RYN,-0.05600376054571461,
52988,423093000.0,448516000.0,11818376000.0,,8441152000.0,6936678000.0,4322993000.0,2013,J,-0.0036650108308328567,
54187,663671.0,2815536.0,,,57669734.0,56220605.0,43712032.0,2013,MAYS,-0.03827537964061397,
55135,58900000.0,115300000.0,,,1798600000.0,1635700000.0,822600000.0,2013,KELYB,-0.03448065048603045,
55234,,,,,,1027738.0,,2013,GAMG,,
55242,203265000.0,284150000.0,2589373000.0,,3808200000.0,3100539000.0,1871997000.0,2013,KMT,-0.026087399642449265,
55529,3895000.0,,111166000.0,,64963000.0,60623000.0,31633000.0,2013,KEQU,,
55785,2142000000.0,,,,18919000000.0,19873000000.0,4856000000.0,2013,KMB,,
56047,253061000.0,601032000.0,2242195000.0,,3682517000.0,3653128000.0,2010686000.0,2013,KEX,-0.09525289012594139,
56679,72691000.0,129482000.0,995559000.0,,1152833000.0,1063390000.0,722579000.0,2013,KFY,-0.053405617882432595,
56701,5427715.0,,,,27550487.0,27001962.0,17487094.0,2013,KOSS,,
56868,12271000.0,35700000.0,125067000.0,,242922000.0,228086000.0,45428000.0,2013,PNRG,-0.10272002665661198,
56873,1519000000.0,,,,29281000000.0,24634000000.0,5384000000.0,2013,KR,,
56978,59358000.0,94824000.0,,,840200000.0,769488000.0,718461000.0,2013,KLIC,-0.04609038737446198,
57131,55056000.0,90832000.0,,892864000.0,764201000.0,712211000.0,511938000.0,2013,LZB,-0.05023230475238377,
57515,109249000.0,131682000.0,,,660688000.0,597747000.0,540706000.0,2013,MZTI,-0.03752925568844344,
58361,-78317000.0,,677774000.0,,797282000.0,1043505000.0,-156297000.0,2013,LEE,,
58492,197300000.0,416900000.0,3800800000.0,,3108100000.0,3254900000.0,1391300000.0,2013,LEG,-0.0674675105225967,
59255,-98000000.0,117100000.0,,,2951700000.0,3170500000.0,601300000.0,2013,VHI,-0.06784418861378332,
59478,4684800000.0,5735000000.0,23113100000.0,,35248700000.0,34398900000.0,17631400000.0,2013,LLY,-0.030530046018913397,
59527,,,2852671000.0,,2151867000.0,2089863000.0,1526602000.0,2013,LECO,,
59558,1244000000.0,799000000.0,11969000000.0,,236945000000.0,218869000000.0,13452000000.0,2013,LNC-PD,0.0020331796645482,
60086,595000000.0,2097000000.0,14613000000.0,,79939000000.0,80021000000.0,19458000000.0,2013,L,-0.01877007285587533,
60519,177100000.0,242500000.0,,,2493300000.0,2331000000.0,1226300000.0,2013,LPX,-0.028056628056628057,
60667,2286000000.0,,,,32732000000.0,32666000000.0,11853000000.0,2013,LOW,,
60714,54962000.0,,,369387000.0,1075218000.0,576612000.0,411715000.0,2013,LXU,,
61004,-2825000.0,-664000.0,26201000.0,,21263000.0,29593000.0,16755000.0,2013,LGL,-0.07302402595208327,
61986,,323100000.0,,,3976600000.0,4057300000.0,775500000.0,2013,MTW,,
62234,25001000.0,66440000.0,447939000.0,,750394000.0,758115000.0,319745000.0,2013,MCS,-0.05466057260442017,
62709,1357000000.0,1341000000.0,,,16960000000.0,16288000000.0,,2013,MRSH,0.0009823182711198428,
62996,288000000.0,645000000.0,,,6885000000.0,6883000000.0,559000000.0,2013,MAS,-0.051866918494842366,
63276,903944000.0,698426000.0,,3006009000.0,6439626000.0,6526785000.0,3251559000.0,2013,MAT,0.0314883974269108,
63296,54121000.0,109326000.0,,628839000.0,1217301000.0,1235035000.0,557850000.0,2013,MATW,-0.044699138081107016,
63330,-1164000.0,-3586000.0,15212000.0,,53753000.0,61485000.0,-27231000.0,2013,MLP,0.0393917215581036,
63754,389000000.0,465200000.0,,,4449700000.0,4165400000.0,,2013,MKC-V,-0.018293561242617756,
63908,5585900000.0,7120700000.0,28105700000.0,,36626300000.0,35386500000.0,16009700000.0,2013,MCD,-0.04337247255309228,
64040,1376000000.0,782000000.0,4702000000.0,1564000000.0,6061000000.0,7052000000.0,1301000000.0,2013,SPGI,0.08423142370958593,0.4449801474758934
64463,3579000.0,1017.0,,,4534000.0,4845.0,3392000.0,2013,SLNHP,738.4897832817337,
64472,6725000.0,7394000.0,48943000.0,37940000.0,115809000.0,111033000.0,110934000.0,2013,GENC,-0.00602523574072573,0.0990966649554637
64803,,5783000000.0,126761000000.0,102978000000.0,71526000000.0,66221000000.0,37938000000.0,2013,CVS,,0.3591458902764984
64996,112143000.0,209804000.0,2821041000.0,,4315181000.0,4189686000.0,,2013,MCY,-0.023309861407274913,
65172,21056289.0,,22045153.0,,8553797.0,7645960.0,,2013,MSB,,
65270,96100000.0,72400000.0,772800000.0,,507214000.0,411084000.0,341824000.0,2013,MEI,0.05765245059403917,
65312,1607238.0,3660098.0,36226584.0,,10573982.0,10254910.0,3773248.0,2013,EVI,-0.20018313178760222,
65596,-5912000.0,-2944000.0,16401000.0,,27970000.0,33456000.0,25109000.0,2013,SIEB,-0.08871353419416547,
65770,-13178000.0,-12657000.0,5852000.0,1801000.0,8447000.0,12938000.0,-1696000.0,2013,MVIS,-0.04026897511207296,0.3131086721286134
65984,711902000.0,3189219000.0,,,43406446000.0,43202502000.0,9632466000.0,2013,ETR,-0.05734197986959181,
66004,16633000.0,,,,530341000.0,561726000.0,321429000.0,2013,MSEXP,,
66382,-22100000.0,90100000.0,,,956800000.0,882200000.0,347400000.0,2013,MLKN,-0.12718204488778054,
66418,301113.0,1812501.0,,,17147147.0,17658502.0,13355144.0,2013,MXC,-0.08558981956680131,
66570,88247000.0,110781000.0,1111883000.0,,1234270000.0,1111746000.0,566452000.0,2013,MNESP,-0.02026901828295312,
66740,4659000000.0,,,16106000000.0,33304000000.0,33876000000.0,17502000000.0,2013,MMM,,
